Group,Regional_harvest_ratio,Comments
Planktivorous_fish,3.49E-02,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Demersal_fish,1.56E-01,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Migratory_fish,1.43E-02,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Benthos_susp-dep,4.91E-09,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Benthos_carn-scav,2.67E-08,NORTH_SEA_DATA_Harvest_ratio_from_Heath_2012_upscaled_to_account_for_discards_and_rescaled_to_03_13_from_ICES_ecoreview
Zooplankton_carn,1.11E-06,Guess_at_harvest_ratio_for_squid
Birds,2.06E-02,NORTH_SEA_Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_data
Pinnipeds,1.11E-04,NORTH_SEA_Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_data
Cetaceans,2.33E-07,NORTH_SEA_Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_and_strandings_data
Macrophytes,0.00E+00,Unknown for_the_Celtic_Sea